Column0,Column1
12,12
15,15
14,14
12,12
13,13
10,10
14,14
12,12
12,12
16,16
14,14
9,9
15,15
11,11
15,15
17,17
12,12
14,14
14,14
16,16
11,11
25,25
25,25
25,25
25,25
25,25
24,24
23,23
21,21
19,19
25,25
18,18
23,23
11,11
25,25
14,14
16,16
15,15
25,25
16,16
18,18
18,18
21,21
19,19
19,19
25,25
25,25
25,25
17,17
25,25
25,25
16,16
17,17
16,16
18,18
25,25
22,22
22,22
25,25
6,6
7,7
12,12
6,6
10,10
10,10
6,6
6,6
9,9
9,9
6,6
6,6
6,6
8,8
6,6
6,6
6,6
6,6
6,6
6,6
10,10
10,10
6,6
8,8
13,13
6,6
6,6
10,10
10,10
6,6
6,6
10,10
6,6
7,7
6,6
7,7
7,7
6,6
6,6
7,7
8,8
6,6
6,6
8,8
10,10
6,6
7,7
6,6
6,6
10,10
6,6
8,8
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
25,25
18,18
18,18
18,18
23,23
18,18
17,17
25,25
25,25
11,11
13,13
14,14
10,10
8,8
11,11
17,17
11,11
9,9
6,6
13,13
9,9
10,10
10,10
10,10
13,13
16,16
17,17
6,6
8,8
6,6
6,6
6,6
8,8
7,7
6,6
6,6
8,8
8,8
9,9
7,7
8,8
7,7
8,8
6,6
6,6
6,6
9,9
11,11
18,18
22,22
23,23
8,8
25,25
25,25
25,25
22,22
25,25
24,24
23,23
22,22
17,17
14,14
21,21
21,21
18,18
14,14
19,19
14,14
19,19
19,19
23,23
25,25
23,23
20,20
25,25
16,16
25,25
24,24
24,24
23,23
25,25
25,25
25,25
16,16
19,19
12,12
16,16
15,15
17,17
11,11
22,22
25,25
25,25
15,15
14,14
10,10
13,13
25,25
25,25
11,11
15,15
17,17
15,15
19,19
11,11
18,18
13,13
10,10
13,13
12,12
13,13
11,11
16,16
10,10
11,11
11,11
25,25
10,10
12,12
17,17
12,12
12,12
12,12
25,25
24,24
21,21
25,25
22,22
14,14
24,24
24,24
25,25
21,21
25,25
25,25
25,25
25,25
25,25
25,25
21,21
25,25
25,25
23,23
19,19
25,25
19,19
25,25
9,9
9,9
15,15
13,13
14,14
11,11
25,25
25,25
25,25
25,25
25,25
25,25
24,24
25,25
25,25
25,25
22,22
25,25
24,24
25,25
25,25
25,25
25,25
24,24
25,25
25,25
24,24
6,6
6,6
6,6
6,6
8,8
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
10,10
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
9,9
6,6
6,6
12,12
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
14,14
6,6
7,7
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
17,17
6,6
6,6
6,6
18,18
6,6
14,14
6,6
6,6
9,9
18,18
14,14
16,16
23,23
22,22
14,14
25,25
18,18
15,15
24,24
21,21
22,22
25,25
18,18
21,21
19,19
20,20
19,19
24,24
18,18
22,22
20,20
25,25
23,23
25,25
24,24
24,24
22,22
21,21
22,22
25,25
19,19
20,20
17,17
19,19
19,19
25,25
25,25
25,25
25,25
16,16
6,6
13,13
13,13
13,13
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
7,7
6,6
7,7
6,6
6,6
6,6
6,6
7,7
8,8
6,6
9,9
7,7
6,6
21,21
20,20
19,19
21,21
19,19
20,20
25,25
25,25
24,24
23,23
20,20
17,17
21,21
20,20
25,25
18,18
22,22
21,21
22,22
25,25
18,18
22,22
25,25
18,18
25,25
18,18
22,22
19,19
17,17
20,20
17,17
22,22
20,20
21,21
20,20
25,25
23,23
20,20
17,17
23,23
18,18
22,22
21,21
19,19
19,19
12,12
12,12
13,13
10,10
14,14
17,17
15,15
18,18
25,25
25,25
24,24
25,25
12,12
19,19
20,20
22,22
16,16
25,25
13,13
19,19
17,17
24,24
16,16
25,25
22,22
20,20
20,20
18,18
20,20
21,21
9,9
17,17
12,12
20,20
19,19
21,21
18,18
22,22
19,19
19,19
19,19
19,19
13,13
12,12
21,21
19,19
23,23
24,24
20,20
19,19
16,16
20,20
18,18
21,21
22,22
23,23
20,20
22,22
21,21
19,19
20,20
24,24
15,15
15,15
22,22
25,25
25,25
25,25
25,25
13,13
19,19
18,18
25,25
24,24
25,25
19,19
25,25
20,20
23,23
25,25
18,18
20,20
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
19,19
19,19
23,23
19,19
23,23
25,25
23,23
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
8,8
10,10
6,6
12,12
9,9
13,13
10,10
12,12
7,7
13,13
11,11
14,14
6,6
12,12
9,9
11,11
8,8
9,9
11,11
13,13
12,12
8,8
11,11
6,6
12,12
7,7
11,11
11,11
8,8
19,19
10,10
14,14
9,9
19,19
21,21
17,17
25,25
25,25
25,25
13,13
22,22
18,18
21,21
25,25
25,25
15,15
14,14
18,18
19,19
12,12
8,8
6,6
7,7
6,6
8,8
7,7
6,6
7,7
7,7
7,7
12,12
7,7
9,9
8,8
11,11
14,14
10,10
7,7
13,13
12,12
11,11
9,9
13,13
10,10
13,13
11,11
6,6
25,25
25,25
21,21
25,25
25,25
25,25
24,24
23,23
20,20
15,15
14,14
19,19
15,15
15,15
6,6
19,19
21,21
20,20
22,22
23,23
25,25
7,7
6,6
8,8
7,7
7,7
6,6
6,6
6,6
7,7
7,7
6,6
9,9
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
16,16
11,11
15,15
15,15
21,21
21,21
11,11
7,7
6,6
11,11
7,7
7,7
7,7
6,6
6,6
6,6
7,7
7,7
7,7
6,6
6,6
6,6
9,9
7,7
7,7
8,8
7,7
6,6
7,7
12,12
9,9
25,25
25,25
23,23
23,23
24,24
17,17
21,21
25,25
24,24
25,25
23,23
25,25
25,25
22,22
25,25
25,25
8,8
6,6
6,6
6,6
7,7
6,6
8,8
10,10
25,25
25,25
25,25
24,24
21,21
19,19
25,25
25,25
23,23
25,25
21,21
21,21
22,22
18,18
21,21
22,22
25,25
23,23
19,19
25,25
25,25
20,20
25,25
19,19
25,25
24,24
23,23
8,8
17,17
14,14
13,13
8,8
12,12
9,9
12,12
12,12
10,10
13,13
12,12
14,14
15,15
15,15
11,11
12,12
13,13
8,8
14,14
16,16
7,7
6,6
7,7
7,7
9,9
10,10
6,6
8,8
7,7
8,8
7,7
6,6
25,25
25,25
20,20
25,25
21,21
19,19
18,18
22,22
21,21
22,22
22,22
19,19
20,20
18,18
21,21
23,23
23,23
19,19
25,25
21,21
20,20
24,24
25,25
22,22
16,16
25,25
7,7
6,6
7,7
8,8
25,25
25,25
25,25
25,25
25,25
13,13
11,11
18,18
13,13
15,15
14,14
13,13
15,15
23,23
22,22
22,22
22,22
22,22
23,23
6,6
6,6
6,6
7,7
7,7
6,6
6,6
6,6
6,6
6,6
6,6
9,9
6,6
6,6
6,6
8,8
8,8
10,10
6,6
6,6
9,9
6,6
6,6
6,6
11,11
8,8
12,12
19,19
23,23
23,23
21,21
25,25
25,25
25,25
25,25
14,14
18,18
13,13
15,15
9,9
17,17
12,12
12,12
25,25
25,25
18,18
18,18
20,20
25,25
25,25
25,25
25,25
25,25
25,25
18,18
16,16
16,16
15,15
15,15
14,14
11,11
17,17
10,10
14,14
15,15
16,16
8,8
14,14
19,19
9,9
19,19
16,16
14,14
15,15
12,12
16,16
16,16
8,8
11,11
11,11
11,11
10,10
16,16
10,10
13,13
12,12
16,16
6,6
11,11
8,8
11,11
14,14
16,16
14,14
15,15
9,9
6,6
10,10
9,9
16,16
12,12
13,13
11,11
8,8
8,8
7,7
7,7
6,6
8,8
6,6
8,8
6,6
8,8
25,25
25,25
25,25
21,21
25,25
23,23
23,23
21,21
23,23
6,6
6,6
6,6
6,6
9,9
12,12
9,9
6,6
9,9
9,9
9,9
16,16
21,21
23,23
24,24
20,20
16,16
21,21
23,23
20,20
23,23
23,23
24,24
25,25
24,24
10,10
10,10
11,11
13,13
8,8
8,8
6,6
14,14
12,12
8,8
9,9
9,9
14,14
14,14
13,13
15,15
16,16
16,16
16,16
15,15
14,14
21,21
22,22
21,21
25,25
25,25
24,24
25,25
25,25
24,24
25,25
25,25
22,22
25,25
23,23
25,25
25,25
25,25
25,25
25,25
23,23
25,25
6,6
6,6
6,6
7,7
6,6
6,6
6,6
6,6
6,6
6,6
6,6
11,11
6,6
9,9
9,9
6,6
25,25
22,22
6,6
6,6
6,6
18,18
7,7
16,16
6,6
6,6
6,6
6,6
20,20
8,8
17,17
7,7
6,6
6,6
6,6
21,21
21,21
25,25
9,9
6,6
21,21
6,6
21,21
13,13
8,8
6,6
6,6
6,6
9,9
17,17
6,6
10,10
6,6
7,7
18,18
15,15
16,16
24,24
17,17
12,12
15,15
22,22
15,15
14,14
13,13
18,18
19,19
19,19
12,12
19,19
18,18
14,14
17,17
17,17
19,19
12,12
18,18
18,18
20,20
19,19
21,21
22,22
13,13
15,15
22,22
18,18
22,22
20,20
17,17
23,23
17,17
18,18
15,15
21,21
17,17
19,19
17,17
21,21
15,15
16,16
18,18
18,18
16,16
19,19
11,11
17,17
9,9
11,11
19,19
11,11
14,14
19,19
11,11
7,7
12,12
7,7
25,25
16,16
25,25
17,17
10,10
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
7,7
7,7
7,7
6,6
10,10
10,10
7,7
10,10
7,7
8,8
6,6
11,11
6,6
7,7
8,8
6,6
6,6
7,7
8,8
6,6
7,7
7,7
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
6,6
25,25
7,7
11,11
10,10
25,25
25,25
25,25
25,25
25,25
25,25
10,10
25,25
24,24
25,25
11,11
11,11
8,8
10,10
6,6
6,6
9,9
13,13
11,11
12,12
16,16
12,12
13,13
12,12
12,12
10,10
19,19
14,14
25,25
13,13
13,13
12,12
13,13
25,25
13,13
12,12
11,11
10,10
12,12
25,25
11,11
25,25
25,25
24,24
8,8
7,7
25,25
7,7
7,7
8,8
25,25
23,23
10,10
16,16
9,9
10,10
10,10
9,9
12,12
15,15
15,15
15,15
13,13
25,25
18,18
14,14
25,25
8,8
9,9
25,25
14,14
8,8
11,11
7,7
14,14
18,18
15,15
16,16
8,8
9,9
8,8
9,9
12,12
13,13
15,15
16,16
11,11
16,16
14,14
14,14
6,6
7,7
8,8
17,17
9,9
9,9
9,9
10,10
11,11
13,13
14,14
15,15
15,15
11,11
8,8
8,8
7,7
8,8
10,10
6,6
8,8
8,8
10,10
7,7
7,7
7,7
7,7
7,7
8,8
7,7
6,6
6,6
9,9
6,6
7,7
7,7
6,6
7,7
8,8
9,9
6,6
7,7
20,20
19,19
22,22
15,15
19,19
25,25
22,22
22,22
19,19
17,17
24,24
19,19
25,25
23,23
24,24
22,22
15,15
22,22
17,17
21,21
24,24
20,20
16,16
22,22
24,24
22,22
20,20
20,20
24,24
16,16
22,22
15,15
18,18
16,16
24,24
24,24
25,25
20,20
16,16
20,20
22,22
21,21
21,21
20,20
22,22
25,25
19,19
23,23
7,7
6,6
8,8
6,6
25,25
25,25
23,23
25,25
15,15
25,25
18,18
23,23
24,24
19,19
25,25
25,25
19,19
19,19
18,18
25,25
22,22
6,6
6,6
6,6
7,7
6,6
12,12
6,6
6,6
14,14
6,6
6,6
6,6
12,12
6,6
7,7
6,6
10,10
6,6
16,16
6,6
6,6
6,6
6,6
6,6
6,6
13,13
9,9
6,6
6,6
11,11
10,10
11,11
16,16
6,6
6,6
8,8
16,16
6,6
16,16
15,15
12,12
16,16
15,15
24,24
18,18
17,17
17,17
17,17
16,16
11,11
15,15
20,20
15,15
16,16
12,12
15,15
19,19
15,15
21,21
15,15
16,16
16,16
14,14
13,13
13,13
20,20
14,14
18,18
13,13
20,20
10,10
17,17
13,13
16,16
11,11
18,18
13,13
19,19
15,15
15,15
16,16
15,15
16,16
11,11
14,14
13,13
17,17
18,18
17,17
6,6
21,21
19,19
21,21
21,21
14.5,14.5
13.1,13.1
17.4,17.4
15.8,15.8
12.1,12.1
9.9,9.9
18.3,18.3
16.1,16.1
14.5,14.5
12.8,12.8
16.7,16.7
18.2,18.2
16.3,16.3
17.7,17.7
16.5,16.5
14.2,14.2
13.7,13.7
16.2,16.2
13.2,13.2
16.9,16.9
14.1,14.1
12.2,12.2
13.7,13.7
13.1,13.1
25,25
25,25
24,24
13,13
25,25
12,12
25,25
25,25
22,22
24,24
25,25
25,25
25,25
25,25
25,25
10,10
13,13
11,11
14,14
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
25,25
8,8
9,9
6,6
6,6
9,9
6,6
6,6
6,6
8,8
8,8
6,6
8,8
10,10
9,9
11,11
6,6
8,8
25,25
9,9
13,13
25,25
7,7
25,25
25,25
25,25
11,11
25,25
9,9
21,21
25,25
25,25
25,25
6,6
8,8
16,16
12,12
18,18
12,12
12,12
13,13
11,11
10,10
25,25
16,16
13,13
11,11
13,13
11,11
15,15
10,10
7,7
17,17
10,10
15,15
16,16
14,14
13,13
14,14
15,15
10,10
15,15
15,15
13,13
14,14
18,18
11,11
12,12
11,11
13,13
16,16
18,18
11,11
18,18
14,14
8,8
11,11
16,16
19,19
16,16
13,13
15,15
15,15
17,17
12,12
15,15
15,15
17,17
18,18
13,13
10,10
11,11
12,12
12,12
12,12
12,12
13,13
11,11
14,14
17,17
16,16
13,13
13,13
7,7
10,10
11,11
23,23
21,21
25,25
25,25
21,21
20,20
17,17
19,19
13,13
21,21
18,18
19,19
6,6
6,6
6,6
6,6
6,6
6,6
10,10
8,8
7,7
7,7
8,8
8,8
11,11
13,13
13,13
9,9
10,10
9,9
7,7
7,7
7,7
13,13
16,16
10,10
7,7
11,11
16,16
7,7
10,10
6,6
10,10
7,7
12,12
9,9
15,15
10,10
10,10
15,15
10,10
14,14
23,23
25,25
25,25
25,25
22,22
22,22
22,22
25,25
20,20
25,25
19,19
23,23
25,25
20,20
23,23
19,19
25,25
23,23
19,19
12,12
18,18
10,10
16,16
14,14
19,19
14,14
14,14
17,17
14,14
25,25
25,25
25,25
25,25
25,25
25,25
24,24
25,25
23,23
25,25
25,25
25,25
25,25
25,25
18,18
18,18
6,6
7,7
6,6
8,8
7,7
7,7
9,9
6,6
7,7
8,8
9,9
7,7
8,8
8,8
6,6
7,7
25,25
25,25
25,25
10,10
7,7
10,10
21,21
14,14
18,18
11,11
7,7
7,7
6,6
18,18
17,17
8,8
8,8
8,8
7,7
8,8
15,15
10,10
9,9
10,10
7,7
8,8
13,13
8,8
6,6
6,6
6,6
6,6
6,6
6,6
23,23
24,24
25,25
25,25
25,25
25,25
10,10
15,15
9,9
9,9
11,11
11,11
7,7
6,6
9,9
6,6
7,7
6,6
6,6
6,6
8,8
8,8
7,7
6,6
6,6
8,8
6,6
6,6
6,6
18,18
18,18
19,19
20,20
15,15
16,16
15,15
18,18
21,21
25,25
22,22
20,20
17,17
17,17
19,19
23,23
25,25
25,25
25,25
25,25
25,25
9,9
14,14
25,25
25,25
25,25
16,16
12,12
25,25
25,25
22,22
25,25
25,25
20,20
25,25
25,25
25,25
25,25
17,17
18,18
22,22
23,23
19,19
25,25
24,24
24,24
23,23
22,22
17,17
25,25
18,18
20,20
22,22
25,25
15,15
24,24
21,21
25,25
25,25
19,19
24,24
7,7
6,6
9,9
9,9
8,8
8,8
8,8
7,7
6,6
10,10
8,8
25,25
18,18
25,25
25,25
10,10
16,16
11,11
9,9
